loan_id,loan_date,loan_amount,loan_duration,payments,loan_success,account_frequency,account_creation,no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district unemploymant_growth,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,account_district crime_growth,account_district total_crime,birth_number,gender,code ,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district unemploymant_growth,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 ,client_district crime_growth,client_district total_crime,card_issued,card_type,no. movements,min no. trans,max no. trans,avg no. trans,min balance,max balance,avg balance
6596,25-06-1994,91584,24,3816,1,monthly issuance,26-11-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,16-11-1951,female,33,133777,24,17,7,3,11,84.7,8705,5.75,7.61,1.8600000000000003,116,4650.0,4859,209.0,9509.0,0,None,31.0,14.6,47906.0,15002.81935483871,1000.0,83039.4,50765.41612903226
5837,29-06-1994,244560,60,4076,1,monthly issuance,14-10-1993,124605,11,42,14,1,8,46.0,8772,4.69,4.98,0.29000000000000004,126,2854.0,3158,304.0,6012.0,19-07-1967,female,58,109164,98,16,6,1,4,63.6,8757,3.38,3.95,0.5700000000000003,96,2212.0,2471,259.0,4683.0,0,None,42.0,14.6,36680.0,10168.945238095239,1000.0,72512.5,38426.728571428575
5657,05-07-1994,4980,12,415,1,monthly issuance,05-11-1993,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,26-07-1952,female,63,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,0,None,46.0,14.6,16000.0,3932.504347826087,800.0,41106.2,30533.371739130434
5533,05-07-1994,111384,24,4641,1,monthly issuance,20-03-1993,51428,50,11,3,1,4,52.7,8402,3.13,3.98,0.8500000000000001,120,999.0,1099,100.0,2098.0,10-02-1967,male,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,0,None,152.0,14.6,61700.0,13525.023684210526,500.0,141386.0,65097.22434210526
6232,08-07-1994,276660,36,7685,-1,monthly issuance,28-08-1993,124605,11,42,14,1,8,46.0,8772,4.69,4.98,0.29000000000000004,126,2854.0,3158,304.0,6012.0,18-05-1949,male,56,124605,11,42,14,1,8,46.0,8772,4.69,4.98,0.29000000000000004,126,2854.0,3158,304.0,6012.0,0,None,58.0,9.5,11600.0,3499.286206896552,500.0,32720.4,19256.894827586206
6888,11-07-1994,39576,12,3298,1,monthly issuance,04-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,02-05-1980,female,32,105058,32,19,7,2,10,81.0,9272,2.8,3.22,0.4200000000000004,118,4340.0,4505,165.0,8845.0,0,None,115.0,14.6,49603.0,8275.28347826087,300.0,103467.2,48944.827826086956
6066,11-07-1994,173808,24,7242,1,issuance after transaction,23-06-1993,148545,8,35,12,3,4,53.5,8909,4.01,5.56,1.5499999999999998,113,3460.0,3590,130.0,7050.0,27-01-1957,female,77,148545,8,35,12,3,4,53.5,8909,4.01,5.56,1.5499999999999998,113,3460.0,3590,130.0,7050.0,0,None,75.0,43.3,74522.0,17396.585333333333,1000.0,134416.6,61218.65866666667
5549,16-07-1994,50460,60,841,1,monthly issuance,20-10-1993,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,17-10-1947,female,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,0,None,43.0,14.6,22927.5,6392.972093023256,800.0,51971.4,37570.62790697674
5060,19-07-1994,252060,60,4201,-1,monthly issuance,29-11-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,03-08-1965,female,60,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,0,None,61.0,8.2,49937.0,11625.122950819672,900.0,106259.6,57340.50819672131
6004,23-07-1994,143904,24,5996,1,monthly issuance,20-02-1993,107870,84,29,6,1,6,58.0,8754,3.83,4.31,0.47999999999999954,137,3804.0,3868,64.0,7672.0,10-04-1951,male,50,102609,75,33,2,3,6,52.0,8187,4.83,5.45,0.6200000000000001,94,2123.0,2134,11.0,4257.0,0,None,139.0,6.7,60500.0,9194.261151079138,700.0,134571.2,49727.45611510791
5126,24-07-1994,208128,48,4336,-1,monthly issuance,11-05-1993,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,06-08-1951,male,54,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,0,None,64.0,14.6,47493.0,9442.159375,-1069.7,96064.0,36369.975
7220,28-07-1994,131292,36,3647,1,weekly issuance,29-05-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,20-03-1954,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,83.0,12.1,32823.0,7915.583132530121,1000.0,70288.4,36635.115662650605
6668,30-07-1994,74736,36,2076,1,monthly issuance,26-06-1993,77917,85,19,6,1,5,53.5,8390,2.28,2.89,0.6100000000000003,132,2080.0,2122,42.0,4202.0,29-10-1965,male,45,77917,85,19,6,1,5,53.5,8390,2.28,2.89,0.6100000000000003,132,2080.0,2122,42.0,4202.0,0,None,67.0,14.6,30918.0,8191.962686567164,700.0,62084.0,37912.99850746269
5395,30-07-1994,299088,36,8308,-1,monthly issuance,06-06-1993,106054,38,25,6,2,6,63.1,8110,5.77,6.55,0.7800000000000002,109,3244.0,3079,-165.0,6323.0,10-12-1966,female,67,106054,38,25,6,2,6,63.1,8110,5.77,6.55,0.7800000000000002,109,3244.0,3079,-165.0,6323.0,0,None,126.0,14.6,59400.0,12746.586507936508,500.0,193909.9,51992.85476190476
6836,03-08-1994,189300,60,3155,1,monthly issuance,16-06-1993,162580,83,26,5,1,6,72.8,9538,1.51,1.81,0.30000000000000004,111,6079.0,5410,-669.0,11489.0,05-12-1953,male,58,109164,98,16,6,1,4,63.6,8757,3.38,3.95,0.5700000000000003,96,2212.0,2471,259.0,4683.0,0,None,102.0,14.6,28413.0,5114.498039215686,800.0,61043.3,32354.03137254902
6064,04-08-1994,14628,12,1219,1,monthly issuance,01-07-1993,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,08-03-1949,female,55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,0,None,102.0,2.0,23230.5,4093.035294117647,200.0,52184.7,32788.14215686275
6919,05-08-1994,120888,36,3358,1,weekly issuance,27-03-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,20-04-1944,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,96.0,30.0,49200.0,9301.089583333332,600.0,116468.4,40838.755208333336
6841,07-08-1994,172080,48,3585,1,monthly issuance,21-01-1994,92084,55,29,4,3,5,46.7,10124,0.56,0.54,-0.020000000000000018,141,3810.0,4316,506.0,8126.0,05-03-1957,female,10,92084,55,29,4,3,5,46.7,10124,0.56,0.54,-0.020000000000000018,141,3810.0,4316,506.0,8126.0,0,None,42.0,14.6,45518.0,11368.769047619047,200.0,119138.8,60743.95714285714
6038,10-08-1994,323472,48,6739,1,monthly issuance,21-06-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,15-10-1940,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,57.0,14.6,44802.0,12422.015789473684,200.0,119934.1,45414.073684210525
6729,11-08-1994,74688,12,6224,1,monthly issuance,02-04-1993,87419,21,11,4,3,9,85.5,8624,1.79,2.66,0.8700000000000001,102,2879.0,3198,319.0,6077.0,26-01-1945,female,23,87419,21,11,4,3,9,85.5,8624,1.79,2.66,0.8700000000000001,102,2879.0,3198,319.0,6077.0,0,None,112.0,14.6,56019.0,11551.496428571429,1100.0,104902.4,48484.62410714286
7198,23-08-1994,45768,12,3814,1,weekly issuance,22-11-1993,106054,38,25,6,2,6,63.1,8110,5.77,6.55,0.7800000000000002,109,3244.0,3079,-165.0,6323.0,27-05-1977,female,72,226122,32,50,7,4,4,62.6,8994,3.8,4.79,0.9900000000000002,110,9672.0,9208,-464.0,18880.0,0,None,27.0,24.2,36574.0,5645.466666666666,800.0,78327.5,32555.818518518518
6686,25-08-1994,224604,36,6239,1,monthly issuance,24-03-1993,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,24-05-1976,male,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,93.0,14.6,56152.0,14537.803225806452,200.0,109178.4,57496.98924731182
5836,27-08-1994,79632,24,3318,1,monthly issuance,08-04-1994,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,10-08-1959,female,66,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,0,None,16.0,112.5,66165.0,24948.65625,900.0,119373.5,63494.2
7061,27-08-1994,121896,24,5079,1,monthly issuance,28-04-1993,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,07-03-1965,male,55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,0,None,93.0,14.6,64900.0,13230.344086021505,600.0,133454.9,54422.596774193546
5595,02-09-1994,82896,12,6908,1,monthly issuance,08-05-1993,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,06-02-1972,male,49,75685,31,28,5,1,9,60.8,8208,1.89,2.26,0.3699999999999999,155,1660.0,2123,463.0,3783.0,15-02-1994,classic,126.0,14.6,62168.0,10765.977777777778,900.0,107680.9,57141.73095238095
5723,10-09-1994,23628,12,1969,1,monthly issuance,12-03-1993,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,09-03-1954,male,38,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,0,None,110.0,1.7,43694.0,9915.672727272728,1000.0,140228.7,47420.84181818182
6120,11-09-1994,209184,48,4358,1,monthly issuance,16-08-1993,139012,59,41,8,3,10,61.9,8363,2.52,3.49,0.9700000000000002,108,2564.0,2799,235.0,5363.0,18-06-1953,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,68.0,14.6,61800.0,14438.211764705882,1000.0,110583.8,46230.339705882354
6895,19-09-1994,41904,12,3492,1,monthly issuance,24-01-1993,228848,15,40,18,2,6,57.2,9893,4.09,4.72,0.6299999999999999,96,5623.0,5887,264.0,11510.0,08-07-1974,male,70,285387,0,2,8,5,7,89.9,10177,6.63,7.75,1.12,81,9878.0,10108,230.0,19986.0,0,None,143.0,0.8,51700.0,6720.9006993007,900.0,129123.0,36080.386713286716
5882,26-09-1994,87816,12,7318,1,monthly issuance,07-06-1993,105058,32,19,7,2,10,81.0,9272,2.8,3.22,0.4200000000000004,118,4340.0,4505,165.0,8845.0,02-05-1961,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,84.0,14.6,14886.0,4538.9,800.0,43442.2,25533.214285714286
5754,28-09-1994,23052,12,1921,1,monthly issuance,19-01-1993,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,01-11-1940,female,54,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,0,None,171.0,14.6,24000.0,3618.3263157894735,700.0,54321.8,23771.966081871346
6594,28-09-1994,189696,24,7904,-1,monthly issuance,17-05-1994,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,19-02-1970,female,60,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,0,None,5.0,600.0,11500.0,4500.0,600.0,22500.0,14900.0
6738,29-09-1994,230220,36,6395,-1,monthly issuance,08-10-1993,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,09-11-1942,female,74,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,0,None,82.0,4.9,59800.0,7188.85243902439,-2719.7,130801.0,27658.48780487805
6624,30-09-1994,71460,12,5955,1,monthly issuance,08-11-1993,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,03-08-1945,male,55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,0,None,43.0,14.6,48487.0,10433.43953488372,200.0,82549.0,47991.530232558136
6216,30-09-1994,141240,24,5885,1,monthly issuance,07-09-1993,102609,75,33,2,3,6,52.0,8187,4.83,5.45,0.6200000000000001,94,2123.0,2134,11.0,4257.0,11-09-1962,male,50,102609,75,33,2,3,6,52.0,8187,4.83,5.45,0.6200000000000001,94,2123.0,2134,11.0,4257.0,0,None,102.0,14.6,52968.0,9343.385294117646,1000.0,107784.1,57219.57450980392
6229,02-10-1994,11736,24,489,1,monthly issuance,22-04-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,16-09-1938,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,133.0,14.6,33098.0,6032.843609022556,1100.0,70826.8,42224.43909774436
5887,03-10-1994,192744,36,5354,1,monthly issuance,02-06-1993,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,20-09-1971,female,60,110643,49,41,4,1,4,51.9,8441,3.45,4.48,1.0300000000000002,115,1879.0,2252,373.0,4131.0,0,None,76.0,8.8,47700.0,7643.909210526316,700.0,121508.1,37265.655263157896
6808,12-10-1994,227880,36,6330,1,monthly issuance,25-09-1993,197099,29,41,10,2,10,74.7,9624,1.6,2.31,0.71,145,4484.0,4265,-219.0,8749.0,04-11-1955,female,64,197099,29,41,10,2,10,74.7,9624,1.6,2.31,0.71,145,4484.0,4265,-219.0,8749.0,0,None,83.0,14.6,64600.0,8156.793975903614,1100.0,153213.7,45134.72168674699
6297,25-10-1994,17508,12,1459,1,monthly issuance,01-08-1993,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,01-04-1946,male,12,107870,84,29,6,1,6,58.0,8754,3.83,4.31,0.47999999999999954,137,3804.0,3868,64.0,7672.0,0,None,72.0,14.6,17580.0,4842.765277777778,900.0,54432.3,39290.618055555555
5161,28-10-1994,98184,24,4091,1,monthly issuance,09-07-1994,114200,101,41,4,1,4,43.7,8403,5.74,5.72,-0.020000000000000462,105,2157.0,2718,561.0,4875.0,12-06-1945,female,65,114200,101,41,4,1,4,43.7,8403,5.74,5.72,-0.020000000000000462,105,2157.0,2718,561.0,4875.0,0,None,14.0,74.1,24545.0,9311.157142857142,500.0,68956.1,41660.392857142855
5390,30-10-1994,170256,24,7094,1,monthly issuance,08-08-1993,93931,74,21,10,1,8,56.9,8427,1.12,1.54,0.41999999999999993,107,1874.0,1913,39.0,3787.0,16-07-1965,female,16,93931,74,21,10,1,8,56.9,8427,1.12,1.54,0.41999999999999993,107,1874.0,1913,39.0,3787.0,0,None,77.0,14.6,36552.0,9089.424675324675,200.0,79869.8,40091.18311688312
6150,02-11-1994,83016,12,6918,1,monthly issuance,08-02-1993,285387,0,2,8,5,7,89.9,10177,6.63,7.75,1.12,81,9878.0,10108,230.0,19986.0,26-03-1979,male,57,161954,21,37,20,3,8,48.0,8720,3.73,4.5,0.77,116,3729.0,3651,-78.0,7380.0,0,None,196.0,14.6,64400.0,13414.55663265306,700.0,136436.6,67891.93520408163
6223,03-11-1994,61056,48,1272,1,monthly issuance,21-11-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,06-09-1957,female,57,161954,21,37,20,3,8,48.0,8720,3.73,4.5,0.77,116,3729.0,3651,-78.0,7380.0,0,None,64.0,14.6,24372.0,5646.3390625,900.0,55816.0,36039.0515625
5032,03-11-1994,123696,48,2577,1,monthly issuance,02-12-1993,124605,11,42,14,1,8,46.0,8772,4.69,4.98,0.29000000000000004,126,2854.0,3158,304.0,6012.0,27-08-1940,male,56,124605,11,42,14,1,8,46.0,8772,4.69,4.98,0.29000000000000004,126,2854.0,3158,304.0,6012.0,0,None,61.0,14.6,48476.0,8953.219672131148,300.0,89822.2,49084.381967213114
6253,04-11-1994,59760,24,2490,1,monthly issuance,27-12-1993,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,26-11-1958,male,74,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,0,None,54.0,14.6,34557.0,8295.155555555555,300.0,69643.1,40204.46481481481
6460,06-11-1994,48672,36,1352,1,monthly issuance,17-09-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,02-05-1948,female,55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,0,None,97.0,14.6,12100.0,1577.4938144329897,300.0,33484.4,23050.18969072165
6645,06-11-1994,140400,36,3900,1,monthly issuance,10-10-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,15-10-1941,male,74,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,0,None,45.0,14.6,63200.0,10991.504444444445,400.0,115000.2,43563.62
5176,12-11-1994,192552,24,8023,-1,weekly issuance,29-08-1993,70646,94,14,3,1,4,58.4,8547,2.65,3.64,0.9900000000000002,120,1563.0,1542,-21.0,3105.0,31-12-1963,female,20,70646,94,14,3,1,4,58.4,8547,2.65,3.64,0.9900000000000002,120,1563.0,1542,-21.0,3105.0,0,None,51.0,10.2,23844.0,5774.419607843137,800.0,49563.0,23979.011764705883
5269,19-11-1994,164052,36,4557,-1,issuance after transaction,17-11-1993,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,12-09-1975,female,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,65.0,0.4,48181.0,11809.263076923076,-2564.7,112045.6,41752.161538461536
5351,04-12-1994,205200,36,5700,1,weekly issuance,11-06-1993,161954,21,37,20,3,8,48.0,8720,3.73,4.5,0.77,116,3729.0,3651,-78.0,7380.0,25-01-1963,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,129.0,30.0,51303.0,9244.202325581395,900.0,93928.5,58336.31162790698
5861,08-12-1994,51408,24,2142,1,monthly issuance,16-11-1993,45714,52,10,5,1,6,55.6,8843,2.82,3.6,0.7800000000000002,113,818.0,888,70.0,1706.0,24-07-1949,male,29,45714,52,10,5,1,6,55.6,8843,2.82,3.6,0.7800000000000002,113,818.0,888,70.0,1706.0,0,None,64.0,14.6,57700.0,13410.8203125,900.0,137087.2,52299.2859375
5450,11-12-1994,199680,60,3328,1,monthly issuance,25-10-1993,95616,65,30,4,1,6,51.4,9307,3.85,4.43,0.5799999999999996,118,2616.0,3040,424.0,5656.0,23-05-1949,male,52,139012,59,41,8,3,10,61.9,8363,2.52,3.49,0.9700000000000002,108,2564.0,2799,235.0,5363.0,0,None,74.0,14.6,29954.0,7353.527027027027,500.0,62238.8,33658.61756756757
7142,19-12-1994,482940,60,8049,-1,monthly issuance,29-08-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,21-05-1976,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,130.0,7.8,21056.0,4060.6807692307693,900.0,57707.2,26358.754615384616
6306,20-12-1994,36684,12,3057,1,monthly issuance,29-03-1993,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,23-09-1978,female,70,285387,0,2,8,5,7,89.9,10177,6.63,7.75,1.12,81,9878.0,10108,230.0,19986.0,0,None,125.0,8.3,24480.0,4768.6432,700.0,50774.2,30229.797599999998
6272,20-12-1994,398640,60,6644,1,weekly issuance,26-07-1993,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,09-02-1960,female,74,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,0,None,86.0,30.0,59793.0,16552.962790697675,400.0,121689.5,63383.57558139535
5044,21-12-1994,100980,60,1683,1,monthly issuance,01-12-1993,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,31-07-1965,male,54,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,0,None,70.0,14.6,22900.0,5261.048571428571,600.0,53376.7,35614.74428571429
5576,21-12-1994,31248,12,2604,1,monthly issuance,30-05-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,15-03-1939,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,120.0,14.6,64100.0,13845.458333333334,1000.0,144715.3,64493.09916666667
7192,21-12-1994,115992,36,3222,1,weekly issuance,17-04-1993,77917,85,19,6,1,5,53.5,8390,2.28,2.89,0.6100000000000003,132,2080.0,2122,42.0,4202.0,17-05-1937,male,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,127.0,5.4,60600.0,6214.3740157480315,200.0,107692.0,25666.407086614174
5739,02-01-1995,76380,12,6365,1,monthly issuance,01-05-1994,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,28-06-1957,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,45.0,14.6,12861.0,3571.5911111111113,1100.0,41703.3,26122.84888888889
6526,03-01-1995,288468,36,8013,1,monthly issuance,29-08-1994,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,26-10-1958,female,63,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,0,None,17.0,6.4,30950.0,8402.382352941177,600.0,71939.2,36999.52352941177
5624,03-01-1995,177744,48,3703,-1,monthly issuance,10-08-1993,161227,5,35,11,4,10,69.7,8678,5.93,5.57,-0.35999999999999943,102,4980.0,4595,-385.0,9575.0,13-03-1972,male,59,108871,41,29,7,2,6,62.1,8444,3.24,3.47,0.22999999999999998,106,2595.0,2305,-290.0,4900.0,0,None,95.0,3.3,45056.0,6726.888421052631,-2485.5,89733.5,26746.525263157895
6244,08-01-1995,270648,36,7518,-1,weekly issuance,07-03-1994,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,04-11-1937,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,72.0,30.0,52700.0,12958.56388888889,200.0,134501.4,60819.976388888885
5131,08-01-1995,48624,24,2026,1,monthly issuance,05-08-1993,139012,59,41,8,3,10,61.9,8363,2.52,3.49,0.9700000000000002,108,2564.0,2799,235.0,5363.0,30-09-1961,male,40,128118,9,16,6,3,8,85.3,9317,6.49,7.07,0.5800000000000001,97,6949.0,6872,-77.0,13821.0,0,None,117.0,14.6,52900.0,12180.788034188034,200.0,134187.4,63857.23675213675
6960,11-01-1995,76416,24,3184,1,monthly issuance,13-03-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,02-09-1937,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,153.0,14.6,28659.0,6527.3372549019605,8686.4,64494.1,31375.160784313724
6358,14-01-1995,137880,60,2298,-1,weekly issuance,15-09-1993,78955,50,24,8,1,9,59.0,9060,1.78,2.44,0.6599999999999999,124,1655.0,1717,62.0,3372.0,12-03-1963,male,72,226122,32,50,7,4,4,62.6,8994,3.8,4.79,0.9900000000000002,110,9672.0,9208,-464.0,18880.0,0,None,89.0,30.0,20848.0,6024.032584269663,200.0,52658.4,24523.073033707864
5418,16-01-1995,347952,48,7249,1,monthly issuance,30-03-1993,45714,52,10,5,1,6,55.6,8843,2.82,3.6,0.7800000000000002,113,818.0,888,70.0,1706.0,30-10-1964,female,29,45714,52,10,5,1,6,55.6,8843,2.82,3.6,0.7800000000000002,113,818.0,888,70.0,1706.0,0,None,120.0,14.6,54600.0,13441.428333333333,300.0,123013.2,54157.19416666667
6598,18-01-1995,68112,12,5676,1,monthly issuance,04-08-1993,138032,67,30,4,2,5,64.6,8819,5.38,5.66,0.28000000000000025,99,4063.0,4505,442.0,8568.0,30-11-1977,female,35,88768,10,18,5,1,7,80.5,8867,1.02,1.21,0.18999999999999995,130,3384.0,3620,236.0,7004.0,0,None,147.0,14.6,57164.0,9898.475510204082,300.0,111588.8,47220.13401360544
5464,30-01-1995,95808,12,7984,1,monthly issuance,27-11-1993,122603,25,21,6,2,8,80.0,8991,1.39,2.01,0.6199999999999999,128,5198.0,5273,75.0,10471.0,07-09-1940,male,43,161854,73,21,6,1,6,76.3,9425,1.72,2.5,0.78,125,4085.0,3891,-194.0,7976.0,0,None,90.0,14.6,57700.0,16058.694444444445,900.0,122452.2,59701.78666666667
